ID,Idade,Gênero,Departamento,Salário,Horas_Trabalhadas,Produtividade,Satisfação,Tempo_Empresa,Cursos_Realizados,Home_Office
1,40,Feminino,Marketing,2536.32,37,84.70945181713904,100.0,13.6,1,Sim
2,29,Masculino,Vendas,2536.32,40,89.56451362943015,100.0,3.3,0,Não
3,37,Feminino,RH,6127.49807375652,38,86.51310579817608,100.0,6.5,6,Não
4,22,Masculino,Marketing,2536.32,34,77.74045332241609,100.0,8.6,6,Não
5,54,Masculino,TI,26051.62679773391,43,96.73881048088751,100.0,18.5,9,Sim
6,55,Masculino,TI,23813.79792207619,32,74.61536748401305,100.0,19.9,9,Sim
7,47,Masculino,Vendas,7960.808247210822,34,77.06456129795541,100.0,1.9,1,Não
8,26,Feminino,Marketing,2536.32,34,79.08598211617503,100.0,15.5,1,Sim
9,51,Feminino,Marketing,10166.632181595392,48,105.46403655488595,100.0,8.1,0,Não
10,52,Feminino,Marketing,2718.8277075605656,43,96.80805779828114,100.0,8.5,9,Não
11,39,Feminino,RH,2536.32,33,76.36728731340133,100.0,15.3,7,Não
12,41,Masculino,Vendas,2536.32,42,95.83818367679513,100.0,18.5,7,Sim
13,34,Masculino,Vendas,7127.393036178284,39,87.77653401762815,100.0,19.1,0,Sim
14,27,Feminino,Marketing,3652.741436272154,47,103.6506832038818,100.0,12.0,7,Não
15,47,Masculino,Vendas,10152.306170598225,37,83.98058039411227,100.0,7.8,8,Não
16,40,Masculino,Vendas,9935.077465091563,37,83.69682021716572,100.0,16.0,3,Não
17,49,Masculino,RH,10663.929309993757,36,82.79994190194205,100.0,5.8,0,Sim
18,34,Masculino,Vendas,2536.32,37,82.38368939156341,100.0,11.7,0,Sim
19,34,Feminino,TI,26015.79886199451,43,94.94631758085364,100.0,7.8,2,Não
20,31,Feminino,TI,2536.32,48,104.93219707842081,100.0,13.5,4,Não
21,26,Masculino,Vendas,2536.32,35,80.95030759197357,100.0,5.6,4,Não
22,57,Feminino,Marketing,2536.32,30,71.71061337258192,100.0,4.6,8,Sim
23,19,Feminino,Vendas,2930.0622714346828,44,97.89555078146253,100.0,18.4,9,Não
24,42,Masculino,Vendas,2536.32,30,69.83117827681,100.0,2.9,1,Não
25,56,Feminino,TI,12422.432603006579,46,102.07005216311319,100.0,10.6,1,Não
26,26,Feminino,Vendas,2536.32,30,71.16187830260819,100.0,5.2,5,Não
27,39,Masculino,Marketing,6144.203161847618,44,97.07264686580943,100.0,1.7,8,Sim
28,21,Masculino,Marketing,2536.32,31,72.23836898273478,100.0,1.7,0,Não
29,43,Masculino,RH,10629.138388069012,43,96.97519762978243,100.0,4.3,8,Sim
30,46,Masculino,Vendas,2536.32,37,84.50109416993985,100.0,17.5,8,Não
31,51,Masculino,TI,15948.990018147837,37,84.18958161659874,100.0,6.4,8,Não
32,40,Feminino,Marketing,2536.32,48,107.00104609256714,100.0,19.1,4,Sim
33,54,Masculino,RH,16496.57358135929,36,79.29676770700077,100.0,12.1,8,Não
34,28,Masculino,RH,17877.899855229836,48,106.67787531953091,100.0,9.3,3,Sim
35,23,Feminino,RH,2536.32,35,79.34592431687258,100.0,12.0,1,Não
36,35,Feminino,TI,6301.547232335492,35,78.16936710314354,100.0,10.8,5,Não
37,38,Masculino,TI,2536.32,32,74.51120259952498,100.0,15.4,3,Sim
38,59,Masculino,Marketing,16320.333104042656,36,83.37365854516295,100.0,6.4,5,Sim
39,53,Masculino,Vendas,8895.722944896334,48,105.86255148537231,100.0,7.7,2,Não
40,58,Feminino,TI,10562.917636743405,37,84.95287454720294,100.0,18.0,5,Sim
41,55,Masculino,TI,13090.217694221574,39,89.61227825798865,100.0,19.0,1,Não
42,51,Masculino,Vendas,20806.509341858808,48,109.31491445358405,100.0,18.0,1,Não
43,34,Feminino,TI,17179.572863907088,44,99.6399645293714,100.0,9.0,8,Não
44,54,Masculino,Vendas,5157.612704860956,44,98.7421274910719,100.0,15.8,6,Sim
45,42,Feminino,RH,2536.32,30,70.07543363890159,100.0,10.1,2,Não
46,55,Feminino,Vendas,3773.276452152146,48,106.39803418810283,100.0,10.5,0,Não
47,29,Masculino,TI,2536.32,36,81.75393751187005,100.0,4.9,7,Sim
48,40,Feminino,TI,12280.459605462689,33,75.15675340468381,100.0,12.2,5,Não
49,59,Masculino,RH,2536.32,35,82.17094271749781,100.0,4.5,6,Não
50,39,Feminino,Vendas,2536.32,30,69.82411418756766,100.0,7.3,8,Não
51,38,Feminino,RH,2536.32,34,78.12320480678449,100.0,17.2,4,Sim
52,44,Feminino,TI,13942.40946986399,30,70.55148537604046,100.0,4.9,0,Não
53,48,Masculino,Vendas,7182.491912376456,33,76.04360244637246,100.0,2.4,9,Sim
