"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.08.2025","7,00","7,07","7,24","6,98","15,92M","-1,69%"
"25.08.2025","7,12","6,96","7,24","6,93","15,75M","3,19%"
"22.08.2025","6,90","6,76","7,05","6,71","23,33M","3,29%"
"21.08.2025","6,68","6,64","6,87","6,62","14,38M","0,00%"
"20.08.2025","6,68","6,93","6,93","6,63","19,16M","-2,62%"
"19.08.2025","6,86","6,74","6,94","6,72","16,71M","-0,72%"
"18.08.2025","6,91","6,62","6,99","6,62","16,92M","4,38%"
"15.08.2025","6,62","6,66","6,68","6,52","12,56M","-0,90%"
"14.08.2025","6,68","6,67","6,74","6,53","18,64M","-0,74%"
"13.08.2025","6,73","7,01","7,05","6,70","20,02M","-4,27%"
"12.08.2025","7,03","7,20","7,30","7,01","20,06M","0,14%"
"11.08.2025","7,02","6,94","7,37","6,94","27,42M","-0,28%"
"08.08.2025","7,04","7,36","7,36","6,95","33,06M","-5,12%"
"07.08.2025","7,42","7,37","7,48","7,28","17,44M","1,09%"
"06.08.2025","7,34","7,26","7,44","7,21","13,13M","1,94%"
"05.08.2025","7,20","7,18","7,30","7,10","14,84M","0,28%"
"04.08.2025","7,18","7,31","7,38","7,13","14,24M","-0,55%"
"01.08.2025","7,22","7,27","7,40","7,18","25,34M","2,27%"
"31.07.2025","7,06","7,08","7,15","6,97","20,21M","-3,81%"
"30.07.2025","7,34","6,94","7,48","6,92","28,17M","5,16%"
"29.07.2025","6,98","7,25","7,25","6,95","20,95M","-2,79%"
"28.07.2025","7,18","7,48","7,55","7,17","15,87M","-4,27%"
